Mich_FCS_α0_Allow,Mich_FCS_α0_Deny,Mich_FCS_α0.5_Allow,Mich_FCS_α0.5_Deny,Mich_FCS_α1_Allow,Mich_FCS_α1_Deny
26279.0000000,46848.0000000,27343.0000000,47937.0000000,26085.0000000,46431.0000000
27273.0000000,46454.0000000,26814.0000000,46549.0000000,26233.0000000,47409.0000000
26242.0000000,47412.0000000,26956.0000000,47328.0000000,27316.0000000,47053.0000000
26269.0000000,47393.0000000,26266.0000000,46540.0000000,26810.0000000,46569.0000000
26606.0000000,47400.0000000,26222.0000000,46252.0000000,27306.0000000,46458.0000000
26157.0000000,46279.0000000,26265.0000000,46186.0000000,26832.0000000,47278.0000000
27310.0000000,47925.0000000,26260.0000000,47389.0000000,26277.0000000,47926.0000000
25559.0000000,47885.0000000,27328.0000000,46470.0000000,26242.0000000,47418.0000000
25701.0000000,46554.0000000,26701.0000000,46700.0000000,26360.0000000,46292.0000000
27336.0000000,46212.0000000,26871.0000000,47935.0000000,27333.0000000,46210.0000000
