"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 157685 27581 2484 0 28597.75 2354.9375 0 10 10 10 10 1 1 "AND  device_screen_timeout<748 AND NOT wifiEncryption=>WPA2-PSK-CCMP+TKIPESS OR NOT password_length<7 AND  device_is_rooted=false OR NOT wifiConnected=true OR NOT wifiConnected=true OR  wifiEnabled=false AND NOT asset_confidential_level=>PUBLIC OR NOT event_type=>CONTEXT_SENSOR_CONNECTIVITY AND NOT device_OS=>Windows8.1 Professional THEN=" "fold2"
"2" 1 0 201079 27581 2484 0 27672.09375 2471.34375 0 10 10 10 10 2 1.8125 "AND  device_screen_timeout<748 AND NOT wifiEncryption=>WPA2-PSK-CCMP+TKIPESS OR NOT password_length<7 AND  device_is_rooted=false OR NOT wifiConnected=true OR NOT wifiConnected=true OR  wifiEnabled=false AND NOT asset_confidential_level=>PUBLIC OR NOT event_type=>CONTEXT_SENSOR_CONNECTIVITY AND NOT device_OS=>Windows8.1 Professional THEN=" "fold2"
"3" 2 0 275861 27581 2484 0 27611.96875 2478.5625 0 10 10 10 10 3 2.5625 "AND  device_screen_timeout<748 AND NOT wifiEncryption=>WPA2-PSK-CCMP+TKIPESS OR NOT password_length<7 AND  device_is_rooted=false OR NOT wifiConnected=true OR NOT wifiConnected=true OR  wifiEnabled=false AND NOT asset_confidential_level=>PUBLIC OR NOT event_type=>CONTEXT_SENSOR_CONNECTIVITY AND NOT device_OS=>Windows8.1 Professional THEN=" "fold2"
"4" 3 0 320002 27537 2479 0 27583.28125 2481.96875 0 10 10 10 10 1 3.03125 "OR NOT bluetoothConnected=false OR NOT event_type=>CONTEXT_SENSOR_APP OR NOT asset_confidential_level=>CONFIDENTIAL OR NOT asset_confidential_level=>CONFIDENTIAL AND  device_has_password=true OR NOT device_has_password=true AND  device_has_accessibility=false AND  device_has_antivirus=false AND NOT device_owned_by=>COMPANY AND NOT password_length>6 THEN=" "fold2"
"5" 4 0 369772 27469 2457 0 27576.125 2483 0 10 10 10 10 1 3.53125 "AND  mail_has_attachment=false OR  event_type=>CONTEXT_SENSOR_CONNECTIVITY AND NOT device_is_rooted=true AND NOT device_OS=>Android4.4.2 AND NOT device_is_rooted=true OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPWPSESS AND NOT wifiEncryption=>ESS OR NOT asset_confidential_level=>PUBLIC OR NOT device_screen_timeout<=262 AND  device_screen_timeout<352 THEN=" "fold2"
"6" 5 0 413169 27469 2457 0 27576.125 2483 0 10 10 10 10 2 4.53125 "AND  mail_has_attachment=false OR  event_type=>CONTEXT_SENSOR_CONNECTIVITY AND NOT device_is_rooted=true AND NOT device_OS=>Android4.4.2 AND NOT device_is_rooted=true OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPWPSESS AND NOT wifiEncryption=>ESS OR NOT asset_confidential_level=>PUBLIC OR NOT device_screen_timeout<=262 AND  device_screen_timeout<352 THEN=" "fold2"
"7" 6 0 457539 27469 2457 0 27576.125 2483 0 10 10 10 10 3 5.53125 "AND  mail_has_attachment=false OR  event_type=>CONTEXT_SENSOR_CONNECTIVITY AND NOT device_is_rooted=true AND NOT device_OS=>Android4.4.2 AND NOT device_is_rooted=true OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPWPSESS AND NOT wifiEncryption=>ESS OR NOT asset_confidential_level=>PUBLIC OR NOT device_screen_timeout<=262 AND  device_screen_timeout<352 THEN=" "fold2"
"8" 7 0 516962 27469 2457 0 27576.125 2483 0 10 10 10 10 4 6.53125 "AND  mail_has_attachment=false OR  event_type=>CONTEXT_SENSOR_CONNECTIVITY AND NOT device_is_rooted=true AND NOT device_OS=>Android4.4.2 AND NOT device_is_rooted=true OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPWPSESS AND NOT wifiEncryption=>ESS OR NOT asset_confidential_level=>PUBLIC OR NOT device_screen_timeout<=262 AND  device_screen_timeout<352 THEN=" "fold2"
"9" 8 0 575996 27258 2467 0 27565.25 2482.46875 0 10 10 10 10 1 7.28125 "AND NOT bluetoothConnected=false AND  event_type=>CONTEXT_SENSOR_APP OR NOT asset_confidential_level=>CONFIDENTIAL OR  asset_confidential_level=>PUBLIC OR NOT event_level=>SIMPLE_EVENT AND  device_is_rooted=false OR  device_is_rooted=false OR  device_owned_by=>USER AND  password_length>=6 AND NOT password_length<5 THEN=" "fold2"
"10" 9 0 626643 27258 2467 0 27555.1875 2481.9375 0 10 10 10 10 2 8.125 "AND NOT bluetoothConnected=false AND  event_type=>CONTEXT_SENSOR_APP OR NOT asset_confidential_level=>CONFIDENTIAL OR  asset_confidential_level=>PUBLIC OR NOT event_level=>SIMPLE_EVENT AND  device_is_rooted=false OR  device_is_rooted=false OR  device_owned_by=>USER AND  password_length>=6 AND NOT password_length<5 THEN=" "fold2"
