"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 115586 14194.5 4012 0 39704.390625 2346.90625 0 4 4.15625 15 15.0625 1 1 "AND  event_level=>SIMPLE_EVENT OR NOT wifiConnected=true AND  device_has_accessibility=true THEN=GRANTED|AND NOT wifiConnected=false OR NOT wifiConnected=true AND  device_has_accessibility=true THEN=GRANTED|AND  user_role=>Security AND NOT device_is_rooted=true AND  device_has_accessibility=true THEN=STRONGDENY|OR NOT mail_has_attachment=true AND NOT device_is_rooted=true AND  device_has_accessibility=true THEN=GRANTED|" "fold4"
"2" 1 0 170876 14194.5 4012 0 31570.640625 2913.3125 0 4 4.28125 15 15.625 2 1.6875 "AND  event_level=>SIMPLE_EVENT OR NOT wifiConnected=true AND  device_has_accessibility=true THEN=GRANTED|AND NOT wifiConnected=false OR NOT wifiConnected=true AND  device_has_accessibility=true THEN=GRANTED|AND  user_role=>Security AND NOT device_is_rooted=true AND  device_has_accessibility=true THEN=STRONGDENY|OR NOT mail_has_attachment=true AND NOT device_is_rooted=true AND  device_has_accessibility=true THEN=GRANTED|" "fold4"
"3" 2 0 225734 10594.5 4471 0 25459.75 3235.53125 0 4 4.3125 15 15.6875 1 2.21875 "OR NOT device_is_rooted=false OR  wifiEncryption=>WPA2-PSK-CCMPWPSESS AND  device_has_accessibility=true THEN=GRANTED|OR NOT device_is_rooted=true OR  wifiEncryption=>WPA2-PSK-CCMPWPSESS AND  device_has_accessibility=true THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS OR NOT user_role=>Security AND  device_has_accessibility=true THEN=GRANTED|AND NOT mail_has_attachment=true OR NOT user_role=>Security AND  device_has_accessibility=true THEN=GRANTED|" "fold4"
"4" 3 0 279478 10594.5 4471 0 21263.15625 3501.59375 0 4 4.3125 15 15.5 2 2.65625 "OR NOT device_is_rooted=false OR  wifiEncryption=>WPA2-PSK-CCMPWPSESS AND  device_has_accessibility=true THEN=GRANTED|OR NOT device_is_rooted=true OR  wifiEncryption=>WPA2-PSK-CCMPWPSESS AND  device_has_accessibility=true THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-CCMPESS OR NOT user_role=>Security AND  device_has_accessibility=true THEN=GRANTED|AND NOT mail_has_attachment=true OR NOT user_role=>Security AND  device_has_accessibility=true THEN=GRANTED|" "fold4"
"5" 4 0 323394 9623.5 4584 0 16850.046875 3898.25 0 4 4.40625 13 15.375 1 2.65625 "AND NOT device_OS=>Windows7 Home Edition OR NOT asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_OS=>Windows7 Home Edition OR NOT asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|AND  device_type=>Motorola Moto G OR  device_screen_timeout>470 OR NOT asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|AND  device_screen_timeout>=89 OR  device_screen_timeout>470 OR NOT asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|" "fold4"
"6" 5 0 363788 8501 4723 0 14706.0625 4098.21875 0 5 4.4375 19 15.4375 1 3.0625 "OR  mail_has_attachment=false OR NOT wifiEnabled=true AND NOT wifiEnabled=true THEN=GRANTED|OR NOT mail_has_attachment=true OR  device_has_accessibility=true OR NOT wifiEnabled=true AND NOT wifiEnabled=true THEN=GRANTED|AND NOT device_OS=>Android4.1.1 OR  device_has_accessibility=true OR NOT wifiEnabled=true AND NOT wifiEnabled=true THEN=GRANTED|AND NOT device_has_accessibility=false OR NOT password_length<=7 AND NOT wifiEnabled=true THEN=GRANTED|OR  mail_has_attachment=true OR NOT password_length<=7 AND NOT wifiEnabled=true THEN=GRANTED|" "fold4"
"7" 6 0 410187 7851 4800 0 13850.71875 4184.3125 0 5 4.5 21 15.875 1 3.625 "AND  mail_has_attachment=false OR NOT wifiEnabled=true AND NOT wifiEnabled=true THEN=GRANTED|OR  mail_has_attachment=true OR  device_has_accessibility=true OR NOT wifiEnabled=true AND NOT wifiEnabled=true THEN=GRANTED|OR NOT device_OS=>Android4.1.1 OR  device_has_accessibility=true OR NOT wifiEnabled=true AND NOT wifiEnabled=true THEN=GRANTED|OR  device_has_accessibility=false OR NOT password_length<=7 AND NOT wifiEnabled=true THEN=GRANTED|OR NOT mail_has_attachment=true OR NOT password_length<=7 AND NOT wifiEnabled=true THEN=GRANTED|OR  device_OS=>Android4.1.1 OR NOT mail_has_attachment=true OR NOT password_length<=7 AND NOT wifiEnabled=true THEN=GRANTED|" "fold4"
"8" 7 0 485210 7851 4800 0 12305.375 4320.4375 0 5 4.625 21 16.1875 2 3.625 "AND  mail_has_attachment=false OR NOT wifiEnabled=true AND NOT wifiEnabled=true THEN=GRANTED|OR  mail_has_attachment=true OR  device_has_accessibility=true OR NOT wifiEnabled=true AND NOT wifiEnabled=true THEN=GRANTED|OR NOT device_OS=>Android4.1.1 OR  device_has_accessibility=true OR NOT wifiEnabled=true AND NOT wifiEnabled=true THEN=GRANTED|OR  device_has_accessibility=false OR NOT password_length<=7 AND NOT wifiEnabled=true THEN=GRANTED|OR NOT mail_has_attachment=true OR NOT password_length<=7 AND NOT wifiEnabled=true THEN=GRANTED|OR  device_OS=>Android4.1.1 OR NOT mail_has_attachment=true OR NOT password_length<=7 AND NOT wifiEnabled=true THEN=GRANTED|" "fold4"
"9" 8 0 549201 7851 4800 0 11131.78125 4433.53125 0 5 4.875 21 17.0625 3 3.59375 "AND  mail_has_attachment=false OR NOT wifiEnabled=true AND NOT wifiEnabled=true THEN=GRANTED|OR  mail_has_attachment=true OR  device_has_accessibility=true OR NOT wifiEnabled=true AND NOT wifiEnabled=true THEN=GRANTED|OR NOT device_OS=>Android4.1.1 OR  device_has_accessibility=true OR NOT wifiEnabled=true AND NOT wifiEnabled=true THEN=GRANTED|OR  device_has_accessibility=false OR NOT password_length<=7 AND NOT wifiEnabled=true THEN=GRANTED|OR NOT mail_has_attachment=true OR NOT password_length<=7 AND NOT wifiEnabled=true THEN=GRANTED|OR  device_OS=>Android4.1.1 OR NOT mail_has_attachment=true OR NOT password_length<=7 AND NOT wifiEnabled=true THEN=GRANTED|" "fold4"
"10" 9 0 611294 7758.5 4810 0 10068.515625 4548.84375 0 6 5.28125 17 18.375 1 3.0625 "OR  device_OS=>Windows7 Home Edition AND NOT asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|OR  wifiEncryption=>WPA2-PSK-TKIP+CCMPESS OR  device_OS=>Windows7 Home Edition AND NOT asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|AND  device_OS=>Android4.2 OR NOT device_screen_timeout>470 AND NOT asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|AND  device_screen_timeout>=89 OR NOT device_screen_timeout>470 AND NOT asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|OR  device_screen_timeout>=89 AND  device_screen_timeout>=89 OR NOT device_screen_timeout>470 AND NOT asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|AND NOT mail_has_attachment=true OR  device_screen_timeout>=89 AND  device_screen_timeout>=89 OR NOT device_screen_timeout>470 AND NOT asset_confidential_level=>CONFIDENTIAL THEN=GRANTED|" "fold4"
