"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 442831 "9677,00000000" "4585,00000000" ",00000000" "26916,15625000" "3309,34375000" ",00000000" 5 "4,09375000" 17 "14,93750000" 1 "1,00000000" "AND  device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC AND  device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=true OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT event_level=>COMPLEX_EVENT AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
"2" 1 0 674734 "9677,00000000" "4585,00000000" ",00000000" "21531,65625000" "3584,31250000" ",00000000" 5 "4,18750000" 17 "15,00000000" 2 "1,71875000" "AND  device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC AND  device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=true OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT event_level=>COMPLEX_EVENT AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
"3" 2 0 964654 "9677,00000000" "4585,00000000" ",00000000" "17837,12500000" "3832,65625000" ",00000000" 5 "4,21875000" 17 "15,06250000" 3 "2,37500000" "AND  device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC AND  device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=true OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT event_level=>COMPLEX_EVENT AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
"4" 3 0 1224792 "9677,00000000" "4585,00000000" ",00000000" "16080,37500000" "3998,43750000" ",00000000" 5 "4,21875000" 17 "14,93750000" 4 "2,90625000" "AND  device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT asset_confidential_level=>PUBLIC AND  device_screen_timeout<=1646 OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=true OR  wifiConnected=false OR  device_is_rooted=false THEN=GRANTED|OR NOT event_level=>COMPLEX_EVENT AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|OR  wifiConnected=false AND NOT device_owned_by=>COMPANY OR  device_is_rooted=false THEN=GRANTED|" "fold4"
"5" 4 0 1494533 "8870,00000000" "4671,00000000" ",00000000" "14034,00000000" "4119,03125000" ",00000000" 5 "4,28125000" 17 "14,87500000" 1 "3,18750000" "OR NOT password_length>5 OR NOT asset_confidential_level=>PUBLIC AND NOT device_has_antivirus=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT OR NOT password_length>5 OR NOT asset_confidential_level=>PUBLIC AND NOT device_has_antivirus=false THEN=GRANTED|OR  device_OS=>Windows8.1 Professional OR NOT asset_confidential_level=>PUBLIC AND NOT device_has_antivirus=false THEN=GRANTED|OR  mail_has_attachment=false OR NOT device_has_antivirus=true AND NOT device_has_antivirus=false THEN=GRANTED|OR  device_type=>LG-L70 OR NOT device_has_antivirus=true AND NOT device_has_antivirus=false THEN=GRANTED|" "fold4"
"6" 5 0 1699380 "8870,00000000" "4671,00000000" ",00000000" "12824,65625000" "4242,15625000" ",00000000" 5 "4,34375000" 17 "14,75000000" 2 "3,40625000" "OR NOT password_length>5 OR NOT asset_confidential_level=>PUBLIC AND NOT device_has_antivirus=false THEN=GRANTED|AND NOT event_level=>COMPLEX_EVENT OR NOT password_length>5 OR NOT asset_confidential_level=>PUBLIC AND NOT device_has_antivirus=false THEN=GRANTED|OR  device_OS=>Windows8.1 Professional OR NOT asset_confidential_level=>PUBLIC AND NOT device_has_antivirus=false THEN=GRANTED|OR  mail_has_attachment=false OR NOT device_has_antivirus=true AND NOT device_has_antivirus=false THEN=GRANTED|OR  device_type=>LG-L70 OR NOT device_has_antivirus=true AND NOT device_has_antivirus=false THEN=GRANTED|" "fold4"
"7" 6 0 2015731 "8287,00000000" "4733,00000000" ",00000000" "11848,65625000" "4347,31250000" ",00000000" 5 "4,40625000" 17 "14,93750000" 1 "3,84375000" "AND NOT wifiConnected=true AND NOT wifiConnected=false OR NOT device_is_rooted=true THEN=GRANTED|OR  device_has_password=true OR NOT wifiConnected=true AND NOT wifiConnected=false OR NOT device_is_rooted=true THEN=GRANTED|OR NOT wifiConnected=true AND NOT wifiConnected=false OR NOT device_is_rooted=true THEN=GRANTED|AND  event_level=>COMPLEX_EVENT OR NOT device_owned_by=>COMPANY OR NOT device_is_rooted=true THEN=GRANTED|AND NOT wifiConnected=false OR NOT device_owned_by=>COMPANY OR NOT device_is_rooted=true THEN=GRANTED|" "fold4"
"8" 7 0 2254481 "8287,00000000" "4733,00000000" ",00000000" "10846,46875000" "4438,75000000" ",00000000" 5 "4,65625000" 17 "15,75000000" 2 "3,53125000" "AND NOT wifiConnected=true AND NOT wifiConnected=false OR NOT device_is_rooted=true THEN=GRANTED|OR  device_has_password=true OR NOT wifiConnected=true AND NOT wifiConnected=false OR NOT device_is_rooted=true THEN=GRANTED|OR NOT wifiConnected=true AND NOT wifiConnected=false OR NOT device_is_rooted=true THEN=GRANTED|AND  event_level=>COMPLEX_EVENT OR NOT device_owned_by=>COMPANY OR NOT device_is_rooted=true THEN=GRANTED|AND NOT wifiConnected=false OR NOT device_owned_by=>COMPANY OR NOT device_is_rooted=true THEN=GRANTED|" "fold4"
"9" 8 0 2645351 "8287,00000000" "4733,00000000" ",00000000" "10346,93750000" "4497,37500000" ",00000000" 5 "4,71875000" 17 "16,12500000" 3 "4,09375000" "AND NOT wifiConnected=true AND NOT wifiConnected=false OR NOT device_is_rooted=true THEN=GRANTED|OR  device_has_password=true OR NOT wifiConnected=true AND NOT wifiConnected=false OR NOT device_is_rooted=true THEN=GRANTED|OR NOT wifiConnected=true AND NOT wifiConnected=false OR NOT device_is_rooted=true THEN=GRANTED|AND  event_level=>COMPLEX_EVENT OR NOT device_owned_by=>COMPANY OR NOT device_is_rooted=true THEN=GRANTED|AND NOT wifiConnected=false OR NOT device_owned_by=>COMPANY OR NOT device_is_rooted=true THEN=GRANTED|" "fold4"
"10" 9 0 2972674 "8287,00000000" "4733,00000000" ",00000000" "9929,43750000" "4547,78125000" ",00000000" 5 "4,78125000" 17 "16,56250000" 4 "4,43750000" "AND NOT wifiConnected=true AND NOT wifiConnected=false OR NOT device_is_rooted=true THEN=GRANTED|OR  device_has_password=true OR NOT wifiConnected=true AND NOT wifiConnected=false OR NOT device_is_rooted=true THEN=GRANTED|OR NOT wifiConnected=true AND NOT wifiConnected=false OR NOT device_is_rooted=true THEN=GRANTED|AND  event_level=>COMPLEX_EVENT OR NOT device_owned_by=>COMPANY OR NOT device_is_rooted=true THEN=GRANTED|AND NOT wifiConnected=false OR NOT device_owned_by=>COMPANY OR NOT device_is_rooted=true THEN=GRANTED|" "fold4"
