"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 288577 "9910,00000000" "4593,00000000" ",00000000" "31320,59375000" "2902,46875000" ",00000000" 4 "4,12500000" 15 "14,93750000" 1 "1,00000000" "AND  wifiEnabled=false OR NOT asset_confidential_level=>CONFIDENTIAL AND NOT user_role=>Consultancy THEN=GRANTED|OR NOT password_length>6 OR NOT asset_confidential_level=>CONFIDENTIAL AND NOT user_role=>Consultancy THEN=GRANTED|OR NOT device_OS=>Windows8.1 OR  user_role=>Security AND NOT user_role=>Consultancy THEN=GRANTED|AND  wifiConnected=false OR  user_role=>Security AND NOT user_role=>Consultancy THEN=GRANTED|" "fold9"
"2" 1 0 472548 "9716,00000000" "4607,00000000" ",00000000" "22721,65625000" "3586,65625000" ",00000000" 4 "4,31250000" 13 "15,62500000" 1 "1,68750000" "AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT password_length<=7 AND NOT wifiEnabled=false THEN=GRANTED|OR  device_owned_by=>USER OR NOT password_length<=7 AND NOT wifiEnabled=false THEN=GRANTED|OR  wifiConnected=false AND NOT wifiEnabled=false THEN=GRANTED|OR  bluetoothConnected=false OR  wifiConnected=false AND NOT wifiEnabled=false THEN=GRANTED|" "fold9"
"3" 2 0 621228 "9716,00000000" "4607,00000000" ",00000000" "18465,96875000" "3820,25000000" ",00000000" 4 "4,40625000" 13 "15,68750000" 2 "2,28125000" "AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT password_length<=7 AND NOT wifiEnabled=false THEN=GRANTED|OR  device_owned_by=>USER OR NOT password_length<=7 AND NOT wifiEnabled=false THEN=GRANTED|OR  wifiConnected=false AND NOT wifiEnabled=false THEN=GRANTED|OR  bluetoothConnected=false OR  wifiConnected=false AND NOT wifiEnabled=false THEN=GRANTED|" "fold9"
"4" 3 0 768620 "9716,00000000" "4607,00000000" ",00000000" "15504,15625000" "4095,75000000" ",00000000" 4 "4,43750000" 13 "15,50000000" 3 "2,78125000" "AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT password_length<=7 AND NOT wifiEnabled=false THEN=GRANTED|OR  device_owned_by=>USER OR NOT password_length<=7 AND NOT wifiEnabled=false THEN=GRANTED|OR  wifiConnected=false AND NOT wifiEnabled=false THEN=GRANTED|OR  bluetoothConnected=false OR  wifiConnected=false AND NOT wifiEnabled=false THEN=GRANTED|" "fold9"
"5" 4 0 916756 "9716,00000000" "4607,00000000" ",00000000" "13710,28125000" "4195,75000000" ",00000000" 4 "4,43750000" 13 "15,37500000" 4 "3,03125000" "AND NOT asset_confidential_level=>CONFIDENTIAL OR NOT password_length<=7 AND NOT wifiEnabled=false THEN=GRANTED|OR  device_owned_by=>USER OR NOT password_length<=7 AND NOT wifiEnabled=false THEN=GRANTED|OR  wifiConnected=false AND NOT wifiEnabled=false THEN=GRANTED|OR  bluetoothConnected=false OR  wifiConnected=false AND NOT wifiEnabled=false THEN=GRANTED|" "fold9"
"6" 5 0 1031903 "8878,00000000" "4718,00000000" ",00000000" "12281,96875000" "4322,78125000" ",00000000" 5 "4,40625000" 17 "15,62500000" 1 "3,28125000" "AND NOT wifiConnected=false OR  password_length<=6 OR  user_role=>Employee THEN=GRANTED|AND  device_has_antivirus=false OR  password_length<=6 OR  user_role=>Employee THEN=GRANTED|OR  asset_confidential_level=>PUBLIC AND NOT user_role=>Development OR  user_role=>Employee THEN=GRANTED|OR  wifiConnected=false AND NOT user_role=>Development OR  user_role=>Employee THEN=GRANTED|OR NOT event_level=>SIMPLE_EVENT OR  wifiConnected=false AND NOT user_role=>Development OR  user_role=>Employee THEN=GRANTED|" "fold9"
"7" 6 0 1113350 "8453,00000000" "4752,00000000" ",00000000" "11683,43750000" "4385,68750000" ",00000000" 5 "4,43750000" 15 "15,87500000" 1 "3,65625000" "AND NOT asset_confidential_level=>CONFIDENTIAL AND NOT password_length<=7 OR  wifiEnabled=false THEN=GRANTED|AND NOT password_length<=7 OR  wifiEnabled=false THEN=GRANTED|OR  wifiConnected=false AND NOT password_length<=6 OR  wifiEnabled=false THEN=GRANTED|OR  device_has_antivirus=false AND NOT password_length<=6 OR  wifiEnabled=false THEN=GRANTED|AND  device_screen_timeout<249 OR  device_has_antivirus=false AND NOT password_length<=6 OR  wifiEnabled=false THEN=GRANTED|" "fold9"
"8" 7 0 1237734 "8453,00000000" "4752,00000000" ",00000000" "11187,81250000" "4436,78125000" ",00000000" 5 "4,53125000" 15 "16,18750000" 2 "4,28125000" "AND NOT asset_confidential_level=>CONFIDENTIAL AND NOT password_length<=7 OR  wifiEnabled=false THEN=GRANTED|AND NOT password_length<=7 OR  wifiEnabled=false THEN=GRANTED|OR  wifiConnected=false AND NOT password_length<=6 OR  wifiEnabled=false THEN=GRANTED|OR  device_has_antivirus=false AND NOT password_length<=6 OR  wifiEnabled=false THEN=GRANTED|AND  device_screen_timeout<249 OR  device_has_antivirus=false AND NOT password_length<=6 OR  wifiEnabled=false THEN=GRANTED|" "fold9"
"9" 8 0 1357245 "8453,00000000" "4752,00000000" ",00000000" "11125,46875000" "4445,28125000" ",00000000" 5 "4,56250000" 15 "15,93750000" 3 "4,81250000" "AND NOT asset_confidential_level=>CONFIDENTIAL AND NOT password_length<=7 OR  wifiEnabled=false THEN=GRANTED|AND NOT password_length<=7 OR  wifiEnabled=false THEN=GRANTED|OR  wifiConnected=false AND NOT password_length<=6 OR  wifiEnabled=false THEN=GRANTED|OR  device_has_antivirus=false AND NOT password_length<=6 OR  wifiEnabled=false THEN=GRANTED|AND  device_screen_timeout<249 OR  device_has_antivirus=false AND NOT password_length<=6 OR  wifiEnabled=false THEN=GRANTED|" "fold9"
"10" 9 0 1480629 "8453,00000000" "4752,00000000" ",00000000" "11066,81250000" "4444,50000000" ",00000000" 5 "4,50000000" 15 "15,75000000" 4 "5,59375000" "AND NOT asset_confidential_level=>CONFIDENTIAL AND NOT password_length<=7 OR  wifiEnabled=false THEN=GRANTED|AND NOT password_length<=7 OR  wifiEnabled=false THEN=GRANTED|OR  wifiConnected=false AND NOT password_length<=6 OR  wifiEnabled=false THEN=GRANTED|OR  device_has_antivirus=false AND NOT password_length<=6 OR  wifiEnabled=false THEN=GRANTED|AND  device_screen_timeout<249 OR  device_has_antivirus=false AND NOT password_length<=6 OR  wifiEnabled=false THEN=GRANTED|" "fold9"
"11" 10 0 1592432 "8453,00000000" "4752,00000000" ",00000000" "10825,75000000" "4475,28125000" ",00000000" 5 "4,56250000" 15 "16,00000000" 5 "6,06250000" "AND NOT asset_confidential_level=>CONFIDENTIAL AND NOT password_length<=7 OR  wifiEnabled=false THEN=GRANTED|AND NOT password_length<=7 OR  wifiEnabled=false THEN=GRANTED|OR  wifiConnected=false AND NOT password_length<=6 OR  wifiEnabled=false THEN=GRANTED|OR  device_has_antivirus=false AND NOT password_length<=6 OR  wifiEnabled=false THEN=GRANTED|AND  device_screen_timeout<249 OR  device_has_antivirus=false AND NOT password_length<=6 OR  wifiEnabled=false THEN=GRANTED|" "fold9"
