"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 213268 29631 4530 0 51356.65625 2670.65625 0 4 4.09375 15 14.875 1 1 "AND NOT device_has_accessibility=false AND NOT device_is_rooted=true OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR  device_is_rooted=true AND NOT device_is_rooted=true OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR NOT user_role=>International AND  mail_has_attachment=true OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|AND NOT device_has_accessibility=true AND  mail_has_attachment=true OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|" "fold0"
"2" 1 0 284843 29631 4530 0 43942.46875 3354.5 0 4 4.15625 15 14.9375 2 1.71875 "AND NOT device_has_accessibility=false AND NOT device_is_rooted=true OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR  device_is_rooted=true AND NOT device_is_rooted=true OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR NOT user_role=>International AND  mail_has_attachment=true OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|AND NOT device_has_accessibility=true AND  mail_has_attachment=true OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|" "fold0"
"3" 2 0 358705 29631 4530 0 39937.34375 3659.34375 0 4 4.1875 15 15.1875 3 2.28125 "AND NOT device_has_accessibility=false AND NOT device_is_rooted=true OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR  device_is_rooted=true AND NOT device_is_rooted=true OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR NOT user_role=>International AND  mail_has_attachment=true OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|AND NOT device_has_accessibility=true AND  mail_has_attachment=true OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|" "fold0"
"4" 3 0 435973 29631 4530 0 36626.9375 4029.28125 0 4 4.34375 15 15.625 4 2.59375 "AND NOT device_has_accessibility=false AND NOT device_is_rooted=true OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR  device_is_rooted=true AND NOT device_is_rooted=true OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR NOT user_role=>International AND  mail_has_attachment=true OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|AND NOT device_has_accessibility=true AND  mail_has_attachment=true OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|" "fold0"
"5" 4 0 526287 29631 4530 0 35686.8125 4126.40625 0 4 4.34375 15 15.625 5 3.21875 "AND NOT device_has_accessibility=false AND NOT device_is_rooted=true OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR  device_is_rooted=true AND NOT device_is_rooted=true OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|OR NOT user_role=>International AND  mail_has_attachment=true OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|AND NOT device_has_accessibility=true AND  mail_has_attachment=true OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPA2-PSK-TKIP+CCMPESS THEN=GRANTED|" "fold0"
"6" 5 0 624672 26729 4622 0 33710.84375 4200.34375 0 4 4.34375 13 15.25 1 3.46875 "AND  wifiEnabled=true OR NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 AND  wifiEnabled=true OR NOT password_length<=7 THEN=GRANTED|OR NOT mail_has_attachment=true AND NOT device_has_accessibility=true OR NOT password_length<=7 THEN=GRANTED|OR  device_is_rooted=true AND NOT device_has_accessibility=true OR NOT password_length<=7 THEN=GRANTED|" "fold0"
"7" 6 0 739858 26729 4622 0 32743.875 4309.65625 0 4 4.40625 13 15.4375 2 3.8125 "AND  wifiEnabled=true OR NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 AND  wifiEnabled=true OR NOT password_length<=7 THEN=GRANTED|OR NOT mail_has_attachment=true AND NOT device_has_accessibility=true OR NOT password_length<=7 THEN=GRANTED|OR  device_is_rooted=true AND NOT device_has_accessibility=true OR NOT password_length<=7 THEN=GRANTED|" "fold0"
"8" 7 0 818321 25431 4537 0 31797.6875 4372.3125 0 4 4.40625 11 15.125 1 4.3125 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR  device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_has_antivirus=true AND NOT password_length<=7 THEN=GRANTED|OR  asset_confidential_level=>PUBLIC AND NOT device_has_antivirus=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"9" 8 0 915561 25431 4537 0 30915.5625 4418.71875 0 4 4.34375 11 14.75 2 4.15625 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR  device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_has_antivirus=true AND NOT password_length<=7 THEN=GRANTED|OR  asset_confidential_level=>PUBLIC AND NOT device_has_antivirus=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"10" 9 0 1010704 25431 4537 0 30608.90625 4418.4375 0 4 4.40625 11 14.625 3 4.59375 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR  device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_has_antivirus=true AND NOT password_length<=7 THEN=GRANTED|OR  asset_confidential_level=>PUBLIC AND NOT device_has_antivirus=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"11" 10 0 1123413 25431 4537 0 30422.78125 4425 0 4 4.40625 11 14.5 4 5.3125 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR  device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_has_antivirus=true AND NOT password_length<=7 THEN=GRANTED|OR  asset_confidential_level=>PUBLIC AND NOT device_has_antivirus=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"12" 11 0 1194018 24729 4622 0 29665.625 4489.8125 0 4 4.40625 11 14.3125 1 5.4375 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"13" 12 0 1281757 24729 4622 0 29068.4375 4482.8125 0 4 4.28125 11 13.875 2 5.25 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"14" 13 0 1388104 24729 4622 0 28831.96875 4488.84375 0 4 4.25 11 13.625 3 5.5625 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"15" 14 0 1492464 24729 4622 0 28691.8125 4493.1875 0 4 4.21875 11 13.5625 4 5.96875 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"16" 15 0 1579191 24729 4622 0 28539.03125 4518.78125 0 4 4.28125 11 13.5625 5 5.96875 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"17" 16 0 1675247 24729 4622 0 28122.03125 4542.625 0 4 4.25 11 13.375 6 6.4375 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"18" 17 0 1771678 24729 4622 0 27820.09375 4540.3125 0 4 4.15625 11 13.25 7 6.6875 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"19" 18 0 1875426 24729 4622 0 27658.3125 4537.25 0 4 4.15625 11 13.0625 8 7 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"20" 19 0 1938171 24729 4622 0 27261.21875 4539.71875 0 4 4.15625 11 12.6875 9 7.375 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"21" 20 0 2007183 24729 4622 0 27261.21875 4539.71875 0 4 4.15625 11 12.6875 10 8.375 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
"22" 21 0 2102272 24729 4622 0 26997.1875 4557.3125 0 4 4.15625 11 12.5625 11 8.53125 "OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_OS=>Android4.5.1 OR  wifiEnabled=true AND NOT password_length<=7 THEN=GRANTED|OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|AND NOT device_is_rooted=true OR NOT device_has_accessibility=true AND NOT password_length<=7 THEN=GRANTED|" "fold0"
