"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 187622 30276 4392 0 55173.625 2567.78125 0 4 4.09375 15 15 1 1 "OR NOT wifiEncryption=>WPA2-PSK-CCMP-preauthESS AND  device_has_antivirus=true OR  wifiEnabled=true THEN=GRANTED|AND  event_type=>CONTEXT_SENSOR_DEVICE_PROTECTION AND  device_has_antivirus=true OR  wifiEnabled=true THEN=GRANTED|OR NOT asset_confidential_level=>CONFIDENTIAL AND  device_owned_by=>COMPANY OR  wifiEnabled=true THEN=GRANTED|OR  password_length>7 AND  device_owned_by=>COMPANY OR  wifiEnabled=true THEN=GRANTED|" "fold4"
"2" 1 0 273196 26623 4585 0 45815.53125 3043.3125 0 4 4.1875 13 15 1 1.65625 "AND NOT device_screen_timeout<285 OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR NOT event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR NOT device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|AND NOT wifiEncryption=>WPA2-PSK-CCMPESS OR NOT device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"3" 2 0 377977 26623 4585 0 39899.96875 3448.375 0 4 4.21875 13 14.625 2 2.09375 "AND NOT device_screen_timeout<285 OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR NOT event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR NOT device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|AND NOT wifiEncryption=>WPA2-PSK-CCMPESS OR NOT device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"4" 3 0 466048 26623 4585 0 37286.59375 3671 0 4 4.21875 13 14.3125 3 2.25 "AND NOT device_screen_timeout<285 OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR NOT event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR NOT device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|AND NOT wifiEncryption=>WPA2-PSK-CCMPESS OR NOT device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"5" 4 0 566619 26623 4585 0 34867.96875 3783.90625 0 4 4.15625 13 14.125 4 2.5 "AND NOT device_screen_timeout<285 OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR NOT event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR NOT device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|AND NOT wifiEncryption=>WPA2-PSK-CCMPESS OR NOT device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"6" 5 0 664921 26623 4585 0 32885.34375 4040.09375 0 4 4.125 13 14.375 5 3 "AND NOT device_screen_timeout<285 OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR NOT event_level=>COMPLEX_EVENT OR  user_role=>International AND  mail_has_attachment=false THEN=GRANTED|OR NOT device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|AND NOT wifiEncryption=>WPA2-PSK-CCMPESS OR NOT device_is_rooted=false AND  mail_has_attachment=false THEN=GRANTED|" "fold4"
"7" 6 0 774158 25184 4522 0 31661.09375 4166.3125 0 4 4.1875 11 14.3125 1 3.375 "OR  wifiEncryption=>WPA2-PSK-CCMP-preauthESS OR NOT device_has_antivirus=true AND NOT wifiEnabled=true THEN=GRANTED|OR NOT device_has_antivirus=true AND NOT wifiEnabled=true THEN=GRANTED|OR NOT device_owned_by=>USER AND NOT wifiEnabled=true THEN=GRANTED|AND NOT password_length>7 OR NOT device_owned_by=>USER AND NOT wifiEnabled=true THEN=GRANTED|" "fold4"
"8" 7 0 863087 25184 4522 0 30988.0625 4241.0625 0 4 4.25 11 14.1875 2 3.75 "OR  wifiEncryption=>WPA2-PSK-CCMP-preauthESS OR NOT device_has_antivirus=true AND NOT wifiEnabled=true THEN=GRANTED|OR NOT device_has_antivirus=true AND NOT wifiEnabled=true THEN=GRANTED|OR NOT device_owned_by=>USER AND NOT wifiEnabled=true THEN=GRANTED|AND NOT password_length>7 OR NOT device_owned_by=>USER AND NOT wifiEnabled=true THEN=GRANTED|" "fold4"
"9" 8 0 937089 25184 4522 0 30384.6875 4328.90625 0 4 4.28125 11 14.3125 3 3.90625 "OR  wifiEncryption=>WPA2-PSK-CCMP-preauthESS OR NOT device_has_antivirus=true AND NOT wifiEnabled=true THEN=GRANTED|OR NOT device_has_antivirus=true AND NOT wifiEnabled=true THEN=GRANTED|OR NOT device_owned_by=>USER AND NOT wifiEnabled=true THEN=GRANTED|AND NOT password_length>7 OR NOT device_owned_by=>USER AND NOT wifiEnabled=true THEN=GRANTED|" "fold4"
"10" 9 0 1020382 25184 4522 0 30153.96875 4355.875 0 4 4.28125 11 14.3125 4 4.40625 "OR  wifiEncryption=>WPA2-PSK-CCMP-preauthESS OR NOT device_has_antivirus=true AND NOT wifiEnabled=true THEN=GRANTED|OR NOT device_has_antivirus=true AND NOT wifiEnabled=true THEN=GRANTED|OR NOT device_owned_by=>USER AND NOT wifiEnabled=true THEN=GRANTED|AND NOT password_length>7 OR NOT device_owned_by=>USER AND NOT wifiEnabled=true THEN=GRANTED|" "fold4"
"11" 10 0 1093585 25184 4522 0 29477.1875 4458.125 0 4 4.34375 11 14.4375 5 4.5625 "OR  wifiEncryption=>WPA2-PSK-CCMP-preauthESS OR NOT device_has_antivirus=true AND NOT wifiEnabled=true THEN=GRANTED|OR NOT device_has_antivirus=true AND NOT wifiEnabled=true THEN=GRANTED|OR NOT device_owned_by=>USER AND NOT wifiEnabled=true THEN=GRANTED|AND NOT password_length>7 OR NOT device_owned_by=>USER AND NOT wifiEnabled=true THEN=GRANTED|" "fold4"
