"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 205765 32106 4238 0 53787.9375 2288.6875 0 4 4 15 14.875 1 1 "OR NOT device_screen_timeout<=859 OR NOT event_level=>SIMPLE_EVENT AND NOT password_length>7 THEN=GRANTED|OR  device_owned_by=>USER OR NOT event_level=>SIMPLE_EVENT AND NOT password_length>7 THEN=GRANTED|AND  wifiEncryption=>WPA-PSK-CCMPESS AND  asset_confidential_level=>PUBLIC AND NOT password_length>7 THEN=GRANTED|AND NOT device_owned_by=>USER AND  asset_confidential_level=>PUBLIC AND NOT password_length>7 THEN=GRANTED|" "fold7"
"2" 1 0 285676 32106 4238 0 47167.09375 2925.71875 0 4 4.03125 15 14.875 2 1.71875 "OR NOT device_screen_timeout<=859 OR NOT event_level=>SIMPLE_EVENT AND NOT password_length>7 THEN=GRANTED|OR  device_owned_by=>USER OR NOT event_level=>SIMPLE_EVENT AND NOT password_length>7 THEN=GRANTED|AND  wifiEncryption=>WPA-PSK-CCMPESS AND  asset_confidential_level=>PUBLIC AND NOT password_length>7 THEN=GRANTED|AND NOT device_owned_by=>USER AND  asset_confidential_level=>PUBLIC AND NOT password_length>7 THEN=GRANTED|" "fold7"
"3" 2 0 380585 32106 4238 0 41261.65625 3558.125 0 4 4.1875 15 15.1875 3 2.09375 "OR NOT device_screen_timeout<=859 OR NOT event_level=>SIMPLE_EVENT AND NOT password_length>7 THEN=GRANTED|OR  device_owned_by=>USER OR NOT event_level=>SIMPLE_EVENT AND NOT password_length>7 THEN=GRANTED|AND  wifiEncryption=>WPA-PSK-CCMPESS AND  asset_confidential_level=>PUBLIC AND NOT password_length>7 THEN=GRANTED|AND NOT device_owned_by=>USER AND  asset_confidential_level=>PUBLIC AND NOT password_length>7 THEN=GRANTED|" "fold7"
"4" 3 0 484086 31831 4353 0 39208.46875 3716.65625 0 4 4.21875 13 15.3125 1 2.8125 "OR  event_level=>SIMPLE_EVENT AND NOT password_length>7 THEN=GRANTED|AND  device_owned_by=>USER OR  event_level=>SIMPLE_EVENT AND NOT password_length>7 THEN=GRANTED|OR  wifiEncryption=>WPA-PSK-CCMPESS OR NOT asset_confidential_level=>PUBLIC AND NOT password_length>7 THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT asset_confidential_level=>PUBLIC AND NOT password_length>7 THEN=STRONGDENY|" "fold7"
"5" 4 0 580331 30525 4256 0 37448 3870.78125 0 4 4.28125 13 15.375 1 3.34375 "OR NOT user_role=>Employee OR NOT device_screen_timeout<736 AND NOT device_has_accessibility=true THEN=GRANTED|OR NOT device_screen_timeout<736 AND NOT device_has_accessibility=true THEN=GRANTED|AND  event_type=>USER_BEHAVIOR AND  device_owned_by=>COMPANY AND NOT device_has_accessibility=true THEN=STRONGDENY|OR NOT wifiEncryption=>ESS AND  device_owned_by=>COMPANY AND NOT device_has_accessibility=true THEN=GRANTED|" "fold7"
"6" 5 0 704911 30525 4256 0 36113.28125 3979.03125 0 4 4.25 13 15.1875 2 3.65625 "OR NOT user_role=>Employee OR NOT device_screen_timeout<736 AND NOT device_has_accessibility=true THEN=GRANTED|OR NOT device_screen_timeout<736 AND NOT device_has_accessibility=true THEN=GRANTED|AND  event_type=>USER_BEHAVIOR AND  device_owned_by=>COMPANY AND NOT device_has_accessibility=true THEN=STRONGDENY|OR NOT wifiEncryption=>ESS AND  device_owned_by=>COMPANY AND NOT device_has_accessibility=true THEN=GRANTED|" "fold7"
"7" 6 0 768408 30455 4317 0 34665.71875 4165.71875 0 4 4.46875 13 15.75 1 3.34375 "OR  event_level=>SIMPLE_EVENT AND  password_length>7 THEN=GRANTED|AND  device_owned_by=>USER OR  event_level=>SIMPLE_EVENT AND  password_length>7 THEN=GRANTED|OR  wifiEncryption=>WPA-PSK-CCMPESS OR NOT asset_confidential_level=>PUBLIC AND  password_length>7 THEN=GRANTED|AND  device_owned_by=>USER OR NOT asset_confidential_level=>PUBLIC AND  password_length>7 THEN=STRONGDENY|" "fold7"
"8" 7 0 840469 26791 4630 0 33628.25 4254.875 0 4 4.5 13 15.5625 1 3.625 "AND NOT device_is_rooted=false OR NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|AND NOT event_type=>CONTEXT_SENSOR_DEVICE_PROTECTION OR NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"9" 8 0 949248 26791 4630 0 32641.21875 4282.28125 0 4 4.4375 13 14.9375 2 3.96875 "AND NOT device_is_rooted=false OR NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|AND NOT event_type=>CONTEXT_SENSOR_DEVICE_PROTECTION OR NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"10" 9 0 1067009 26791 4630 0 31736.9375 4396.28125 0 4 4.5 13 15 3 3.65625 "AND NOT device_is_rooted=false OR NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|AND NOT event_type=>CONTEXT_SENSOR_DEVICE_PROTECTION OR NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
"11" 10 0 1175340 26791 4630 0 31130.71875 4470.96875 0 4 4.5625 13 15.125 4 3.78125 "AND NOT device_is_rooted=false OR NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|AND NOT event_type=>CONTEXT_SENSOR_DEVICE_PROTECTION OR NOT device_type=>1222 AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|OR NOT device_owned_by=>USER OR NOT event_level=>SIMPLE_EVENT AND NOT mail_has_attachment=true THEN=GRANTED|" "fold7"
