"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 212533 "19873.00000000" "4500.00000000" ".00000000" "43066.21875000" "2680.53125000" ".00000000" 4 "4.03125000" 15 "14.93750000" 1 "1.00000000" "AND  event_level=>SIMPLE_EVENT OR  device_owned_by=>USER OR NOT password_length<=5 THEN=GRANTED|AND  device_is_rooted=true OR  device_owned_by=>USER OR NOT password_length<=5 THEN=GRANTED|OR  device_screen_timeout>=313 AND  device_OS=>Android4.4.2 OR NOT password_length<=5 THEN=GRANTED|AND  event_level=>COMPLEX_EVENT AND  device_OS=>Android4.4.2 OR NOT password_length<=5 THEN=GRANTED|" "fold4"
"2" 1 0 278578 "19177.00000000" "4467.00000000" ".00000000" "34281.65625000" "3339.21875000" ".00000000" 4 "4.12500000" 13 "14.87500000" 1 "1.62500000" "OR NOT device_has_accessibility=true AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS AND  device_has_password=false THEN=GRANTED|OR  wifiConnected=false AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS AND  device_has_password=false THEN=GRANTED|OR NOT password_length<=7 AND  device_has_password=false THEN=GRANTED|OR NOT wifiConnected=true OR NOT password_length<=7 AND  device_has_password=false THEN=GRANTED|" "fold4"
"3" 2 0 391843 "19177.00000000" "4467.00000000" ".00000000" "28284.09375000" "3725.34375000" ".00000000" 4 "4.21875000" 13 "14.93750000" 2 "2.12500000" "OR NOT device_has_accessibility=true AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS AND  device_has_password=false THEN=GRANTED|OR  wifiConnected=false AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS AND  device_has_password=false THEN=GRANTED|OR NOT password_length<=7 AND  device_has_password=false THEN=GRANTED|OR NOT wifiConnected=true OR NOT password_length<=7 AND  device_has_password=false THEN=GRANTED|" "fold4"
"4" 3 0 475048 "19177.00000000" "4467.00000000" ".00000000" "25979.87500000" "3903.53125000" ".00000000" 4 "4.21875000" 13 "14.93750000" 3 "2.53125000" "OR NOT device_has_accessibility=true AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS AND  device_has_password=false THEN=GRANTED|OR  wifiConnected=false AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS AND  device_has_password=false THEN=GRANTED|OR NOT password_length<=7 AND  device_has_password=false THEN=GRANTED|OR NOT wifiConnected=true OR NOT password_length<=7 AND  device_has_password=false THEN=GRANTED|" "fold4"
"5" 4 0 568502 "19177.00000000" "4467.00000000" ".00000000" "24227.50000000" "4063.93750000" ".00000000" 4 "4.40625000" 13 "15.43750000" 4 "2.90625000" "OR NOT device_has_accessibility=true AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS AND  device_has_password=false THEN=GRANTED|OR  wifiConnected=false AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS AND  device_has_password=false THEN=GRANTED|OR NOT password_length<=7 AND  device_has_password=false THEN=GRANTED|OR NOT wifiConnected=true OR NOT password_length<=7 AND  device_has_password=false THEN=GRANTED|" "fold4"
"6" 5 0 672712 "18412.00000000" "4733.00000000" ".00000000" "23024.37500000" "4186.65625000" ".00000000" 5 "4.37500000" 15 "15.18750000" 1 "3.28125000" "OR  device_has_antivirus=false AND  event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true AND  event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEncryption=>ESS OR NOT device_OS=>Android4.3 OR  password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT device_OS=>Android4.3 OR  password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"7" 6 0 760929 "18412.00000000" "4733.00000000" ".00000000" "21702.03125000" "4338.28125000" ".00000000" 5 "4.43750000" 15 "15.06250000" 2 "3.62500000" "OR  device_has_antivirus=false AND  event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true AND  event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEncryption=>ESS OR NOT device_OS=>Android4.3 OR  password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT device_OS=>Android4.3 OR  password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"8" 7 0 856134 "18412.00000000" "4733.00000000" ".00000000" "21129.09375000" "4408.21875000" ".00000000" 5 "4.53125000" 15 "15.18750000" 3 "4.06250000" "OR  device_has_antivirus=false AND  event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true AND  event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEncryption=>ESS OR NOT device_OS=>Android4.3 OR  password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT device_OS=>Android4.3 OR  password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"9" 8 0 961066 "18412.00000000" "4733.00000000" ".00000000" "20898.15625000" "4439.12500000" ".00000000" 5 "4.59375000" 15 "15.18750000" 4 "4.62500000" "OR  device_has_antivirus=false AND  event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true AND  event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEncryption=>ESS OR NOT device_OS=>Android4.3 OR  password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT device_OS=>Android4.3 OR  password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"10" 9 0 1038730 "18412.00000000" "4733.00000000" ".00000000" "20621.56250000" "4467.71875000" ".00000000" 5 "4.56250000" 15 "15.12500000" 5 "5.40625000" "OR  device_has_antivirus=false AND  event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true AND  event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEncryption=>ESS OR NOT device_OS=>Android4.3 OR  password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT device_OS=>Android4.3 OR  password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
"11" 10 0 1120942 "18412.00000000" "4733.00000000" ".00000000" "20374.18750000" "4489.65625000" ".00000000" 5 "4.56250000" 15 "15.18750000" 6 "6.00000000" "OR  device_has_antivirus=false AND  event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEnabled=true AND  event_level=>SIMPLE_EVENT AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT wifiEncryption=>ESS OR NOT device_OS=>Android4.3 OR  password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR NOT device_OS=>Android4.3 OR  password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|OR  password_length<7 AND NOT event_level=>COMPLEX_EVENT THEN=GRANTED|" "fold4"
