"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 207916 "19404.00000000" "4629.00000000" ".00000000" "48943.43750000" "2314.34375000" ".00000000" 4 "4.15625000" 15 "15.06250000" 1 "1.00000000" "OR NOT device_has_password=false AND  wifiEnabled=false OR NOT device_is_rooted=true THEN=GRANTED|AND  user_role=>Consultancy AND  wifiEnabled=false OR NOT device_is_rooted=true THEN=GRANTED|AND  wifiConnected=false OR  device_type=>Samsung Galaxy S4 GT-I9506 OR NOT device_is_rooted=true THEN=GRANTED|AND  device_screen_timeout<=556 OR  device_type=>Samsung Galaxy S4 GT-I9506 OR NOT device_is_rooted=true THEN=GRANTED|" "fold5"
"2" 1 0 286244 "19249.00000000" "4636.00000000" ".00000000" "39841.68750000" "2895.46875000" ".00000000" 4 "4.28125000" 15 "15.18750000" 1 "1.68750000" "OR NOT device_type=>LG-G3 AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS AND NOT device_OS=>Android0 THEN=GRANTED|OR  device_has_antivirus=true AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS AND NOT device_OS=>Android0 THEN=GRANTED|AND NOT password_length>5 OR NOT device_has_accessibility=true AND NOT device_OS=>Android0 THEN=GRANTED|AND NOT wifiEncryption=>WPA2-PSK-CCMPESS OR NOT device_has_accessibility=true AND NOT device_OS=>Android0 THEN=GRANTED|" "fold5"
"3" 2 0 404129 "19249.00000000" "4636.00000000" ".00000000" "35434.03125000" "3296.37500000" ".00000000" 4 "4.37500000" 15 "15.18750000" 2 "2.12500000" "OR NOT device_type=>LG-G3 AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS AND NOT device_OS=>Android0 THEN=GRANTED|OR  device_has_antivirus=true AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS AND NOT device_OS=>Android0 THEN=GRANTED|AND NOT password_length>5 OR NOT device_has_accessibility=true AND NOT device_OS=>Android0 THEN=GRANTED|AND NOT wifiEncryption=>WPA2-PSK-CCMPESS OR NOT device_has_accessibility=true AND NOT device_OS=>Android0 THEN=GRANTED|" "fold5"
"4" 3 0 505839 "19249.00000000" "4636.00000000" ".00000000" "32092.12500000" "3565.21875000" ".00000000" 4 "4.40625000" 15 "15.31250000" 3 "2.65625000" "OR NOT device_type=>LG-G3 AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS AND NOT device_OS=>Android0 THEN=GRANTED|OR  device_has_antivirus=true AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS AND NOT device_OS=>Android0 THEN=GRANTED|AND NOT password_length>5 OR NOT device_has_accessibility=true AND NOT device_OS=>Android0 THEN=GRANTED|AND NOT wifiEncryption=>WPA2-PSK-CCMPESS OR NOT device_has_accessibility=true AND NOT device_OS=>Android0 THEN=GRANTED|" "fold5"
"5" 4 0 591602 "19249.00000000" "4636.00000000" ".00000000" "29931.78125000" "3664.90625000" ".00000000" 4 "4.46875000" 15 "15.06250000" 4 "3.06250000" "OR NOT device_type=>LG-G3 AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS AND NOT device_OS=>Android0 THEN=GRANTED|OR  device_has_antivirus=true AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS AND NOT device_OS=>Android0 THEN=GRANTED|AND NOT password_length>5 OR NOT device_has_accessibility=true AND NOT device_OS=>Android0 THEN=GRANTED|AND NOT wifiEncryption=>WPA2-PSK-CCMPESS OR NOT device_has_accessibility=true AND NOT device_OS=>Android0 THEN=GRANTED|" "fold5"
"6" 5 0 714784 "19249.00000000" "4636.00000000" ".00000000" "27980.90625000" "3875.09375000" ".00000000" 4 "4.50000000" 15 "15.18750000" 5 "3.59375000" "OR NOT device_type=>LG-G3 AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS AND NOT device_OS=>Android0 THEN=GRANTED|OR  device_has_antivirus=true AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS AND NOT device_OS=>Android0 THEN=GRANTED|AND NOT password_length>5 OR NOT device_has_accessibility=true AND NOT device_OS=>Android0 THEN=GRANTED|AND NOT wifiEncryption=>WPA2-PSK-CCMPESS OR NOT device_has_accessibility=true AND NOT device_OS=>Android0 THEN=GRANTED|" "fold5"
"7" 6 0 869680 "19249.00000000" "4636.00000000" ".00000000" "26471.00000000" "4004.50000000" ".00000000" 4 "4.46875000" 15 "15.00000000" 6 "3.75000000" "OR NOT device_type=>LG-G3 AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS AND NOT device_OS=>Android0 THEN=GRANTED|OR  device_has_antivirus=true AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS AND NOT device_OS=>Android0 THEN=GRANTED|AND NOT password_length>5 OR NOT device_has_accessibility=true AND NOT device_OS=>Android0 THEN=GRANTED|AND NOT wifiEncryption=>WPA2-PSK-CCMPESS OR NOT device_has_accessibility=true AND NOT device_OS=>Android0 THEN=GRANTED|" "fold5"
"8" 7 0 956706 "18425.00000000" "4614.00000000" ".00000000" "24725.87500000" "4121.75000000" ".00000000" 4 "4.34375000" 13 "14.37500000" 1 "4.00000000" "OR NOT password_length>=7 AND NOT user_role=>Security AND NOT mail_has_attachment=false THEN=GRANTED|OR NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS AND NOT user_role=>Security AND NOT mail_has_attachment=false THEN=GRANTED|OR NOT password_length>5 OR NOT wifiConnected=true AND NOT mail_has_attachment=false THEN=GRANTED|OR NOT wifiConnected=true AND NOT mail_has_attachment=false THEN=GRANTED|" "fold5"
"9" 8 0 1046853 "18249.00000000" "4636.00000000" ".00000000" "23745.12500000" "4156.18750000" ".00000000" 4 "4.21875000" 13 "14.06250000" 1 "4.43750000" "AND NOT device_type=>LG-G3 AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS AND NOT device_OS=>Android0 THEN=GRANTED|AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS AND NOT device_OS=>Android0 THEN=GRANTED|OR NOT password_length>5 OR NOT device_has_accessibility=true AND NOT device_OS=>Android0 THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-CCMPESS OR NOT device_has_accessibility=true AND NOT device_OS=>Android0 THEN=GRANTED|" "fold5"
"10" 9 0 1114489 "18249.00000000" "4636.00000000" ".00000000" "22312.68750000" "4273.78125000" ".00000000" 4 "4.25000000" 13 "14.06250000" 2 "4.37500000" "AND NOT device_type=>LG-G3 AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS AND NOT device_OS=>Android0 THEN=GRANTED|AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS AND NOT device_OS=>Android0 THEN=GRANTED|OR NOT password_length>5 OR NOT device_has_accessibility=true AND NOT device_OS=>Android0 THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-CCMPESS OR NOT device_has_accessibility=true AND NOT device_OS=>Android0 THEN=GRANTED|" "fold5"
"11" 10 0 1178535 "18249.00000000" "4636.00000000" ".00000000" "21332.09375000" "4386.96875000" ".00000000" 4 "4.31250000" 13 "14.62500000" 3 "3.93750000" "AND NOT device_type=>LG-G3 AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS AND NOT device_OS=>Android0 THEN=GRANTED|AND NOT wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS AND NOT device_OS=>Android0 THEN=GRANTED|OR NOT password_length>5 OR NOT device_has_accessibility=true AND NOT device_OS=>Android0 THEN=GRANTED|OR NOT wifiEncryption=>WPA2-PSK-CCMPESS OR NOT device_has_accessibility=true AND NOT device_OS=>Android0 THEN=GRANTED|" "fold5"
"12" 11 0 1271693 "17648.00000000" "4602.00000000" ".00000000" "20484.03125000" "4496.96875000" ".00000000" 4 "4.37500000" 11 "14.75000000" 1 "4.59375000" "OR NOT user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS OR NOT user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|AND  password_length>6 AND  wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|AND  wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|" "fold5"
"13" 12 0 1369625 "17648.00000000" "4602.00000000" ".00000000" "20261.31250000" "4522.56250000" ".00000000" 4 "4.34375000" 11 "14.75000000" 2 "4.87500000" "OR NOT user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS OR NOT user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|AND  password_length>6 AND  wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|AND  wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|" "fold5"
"14" 13 0 1485513 "17648.00000000" "4602.00000000" ".00000000" "19977.06250000" "4531.59375000" ".00000000" 4 "4.25000000" 11 "14.43750000" 3 "5.37500000" "OR NOT user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS OR NOT user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|AND  password_length>6 AND  wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|AND  wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|" "fold5"
"15" 14 0 1577125 "17648.00000000" "4602.00000000" ".00000000" "19554.37500000" "4585.46875000" ".00000000" 4 "4.28125000" 11 "14.43750000" 4 "5.21875000" "OR NOT user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS OR NOT user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|AND  password_length>6 AND  wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|AND  wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|" "fold5"
"16" 15 0 1669112 "17648.00000000" "4602.00000000" ".00000000" "19463.34375000" "4610.21875000" ".00000000" 4 "4.31250000" 11 "14.62500000" 5 "5.84375000" "OR NOT user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS OR NOT user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|AND  password_length>6 AND  wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|AND  wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|" "fold5"
"17" 16 0 1767198 "17648.00000000" "4602.00000000" ".00000000" "19393.06250000" "4618.96875000" ".00000000" 4 "4.31250000" 11 "14.62500000" 6 "6.62500000" "OR NOT user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS OR NOT user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|AND  password_length>6 AND  wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|AND  wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|" "fold5"
"18" 17 0 1851320 "17648.00000000" "4602.00000000" ".00000000" "19250.96875000" "4630.28125000" ".00000000" 4 "4.28125000" 11 "14.56250000" 7 "7.21875000" "OR NOT user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS OR NOT user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|AND  password_length>6 AND  wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|AND  wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|" "fold5"
"19" 18 0 1922271 "17648.00000000" "4602.00000000" ".00000000" "19147.40625000" "4626.50000000" ".00000000" 4 "4.25000000" 11 "14.31250000" 8 "7.68750000" "OR NOT user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS OR NOT user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|AND  password_length>6 AND  wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|AND  wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|" "fold5"
"20" 19 0 1996363 "17648.00000000" "4602.00000000" ".00000000" "19007.87500000" "4624.65625000" ".00000000" 4 "4.21875000" 11 "14.06250000" 9 "8.06250000" "OR NOT user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  wifiEncryption=>WPA-PSK-TKIP+CCMPWPSESS OR NOT user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|AND  password_length>6 AND  wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|AND  wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|" "fold5"
"21" 20 0 2068542 "17249.00000000" "4636.00000000" ".00000000" "18873.00000000" "4621.06250000" ".00000000" 4 "4.15625000" 11 "13.81250000" 1 "8.59375000" "OR NOT password_length>6 OR  user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  device_has_antivirus=true OR NOT wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|OR NOT wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|" "fold5"
"22" 21 0 2132084 "17249.00000000" "4636.00000000" ".00000000" "18799.62500000" "4622.75000000" ".00000000" 4 "4.12500000" 11 "13.75000000" 2 "9.40625000" "OR NOT password_length>6 OR  user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  user_role=>Security AND  mail_has_attachment=false THEN=GRANTED|OR  device_has_antivirus=true OR NOT wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|OR NOT wifiConnected=false AND  mail_has_attachment=false THEN=GRANTED|" "fold5"
