"IT" "EVALUATIONS" "TIME" "BEST_F" "BEST_VALIDATION" "BEST_C_ERROR" "AVERAGE_F" "AVERAGE_VALIDATION" "AVERAGE_C_ERROR" "BEST_DEPTH" "AVERAGE_DEPTH" "BEST_SIZE" "AVERAGE_SIZE" "BEST_AGE" "AVERAGE_AGE" "X" "FOLD"
"1" 0 0 196569 "23081.00000000" "4179.00000000" ".00000000" "39694.53125000" "2864.84375000" ".00000000" 4 "4.06250000" 15 "15.00000000" 1 "1.00000000" "OR  user_role=>Development OR NOT mail_has_attachment=false OR  device_has_antivirus=false THEN=GRANTED|AND  wifiEnabled=true OR NOT mail_has_attachment=false OR  device_has_antivirus=false THEN=GRANTED|AND  mail_has_attachment=false AND NOT device_screen_timeout>=1007 OR  device_has_antivirus=false THEN=GRANTED|AND NOT device_OS=>Windows8.1 Professional AND NOT device_screen_timeout>=1007 OR  device_has_antivirus=false THEN=GRANTED|" "fold6"
"2" 1 0 296638 "20807.00000000" "4315.00000000" ".00000000" "34233.25000000" "3315.81250000" ".00000000" 4 "4.18750000" 13 "15.12500000" 1 "1.71875000" "OR  device_type=>BQ Aquaris E5HD AND NOT device_type=>Samsung Galaxy Trend Plus OR  password_length>=7 THEN=GRANTED|OR NOT device_has_password=false AND NOT device_type=>Samsung Galaxy Trend Plus OR  password_length>=7 THEN=GRANTED|OR NOT device_type=>LG-G3 OR  password_length>=7 THEN=GRANTED|AND  device_screen_timeout<=875 OR NOT device_type=>LG-G3 OR  password_length>=7 THEN=GRANTED|" "fold6"
"3" 2 0 381277 "18294.00000000" "4638.00000000" ".00000000" "30598.25000000" "3563.53125000" ".00000000" 4 "4.34375000" 13 "15.50000000" 1 "2.31250000" "OR  device_screen_timeout<514 AND  device_has_password=true OR NOT password_length<6 THEN=GRANTED|AND  bluetoothConnected=true AND  device_has_password=true OR NOT password_length<6 THEN=GRANTED|OR  device_owned_by=>COMPANY AND  device_is_rooted=true OR NOT password_length<6 THEN=GRANTED|AND  device_is_rooted=true OR NOT password_length<6 THEN=GRANTED|" "fold6"
"4" 3 0 511653 "18294.00000000" "4638.00000000" ".00000000" "26878.56250000" "3901.00000000" ".00000000" 4 "4.34375000" 13 "15.62500000" 2 "2.65625000" "OR  device_screen_timeout<514 AND  device_has_password=true OR NOT password_length<6 THEN=GRANTED|AND  bluetoothConnected=true AND  device_has_password=true OR NOT password_length<6 THEN=GRANTED|OR  device_owned_by=>COMPANY AND  device_is_rooted=true OR NOT password_length<6 THEN=GRANTED|AND  device_is_rooted=true OR NOT password_length<6 THEN=GRANTED|" "fold6"
"5" 4 0 598676 "18294.00000000" "4638.00000000" ".00000000" "24948.50000000" "4089.46875000" ".00000000" 4 "4.37500000" 13 "15.50000000" 3 "3.12500000" "OR  device_screen_timeout<514 AND  device_has_password=true OR NOT password_length<6 THEN=GRANTED|AND  bluetoothConnected=true AND  device_has_password=true OR NOT password_length<6 THEN=GRANTED|OR  device_owned_by=>COMPANY AND  device_is_rooted=true OR NOT password_length<6 THEN=GRANTED|AND  device_is_rooted=true OR NOT password_length<6 THEN=GRANTED|" "fold6"
"6" 5 0 703849 "18270.00000000" "4635.00000000" ".00000000" "23193.93750000" "4235.40625000" ".00000000" 4 "4.43750000" 13 "15.18750000" 1 "3.12500000" "OR NOT device_OS=>Android4.5.1 OR  device_screen_timeout<627 AND NOT user_role=>International THEN=GRANTED|OR NOT wifiEncryption=>WPA-PSK-TKIPWPA2-PSK-CCMP-preauthESS OR  device_screen_timeout<627 AND NOT user_role=>International THEN=GRANTED|AND NOT wifiEncryption=>WPA2-PSK-TKIP+CCMPESS AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|AND NOT device_screen_timeout<615 AND NOT user_role=>International THEN=GRANTED|" "fold6"
"7" 6 0 798943 "17531.00000000" "4786.00000000" ".00000000" "21702.25000000" "4408.31250000" ".00000000" 5 "4.53125000" 13 "14.93750000" 1 "3.21875000" "OR  device_screen_timeout<514 AND  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND NOT wifiConnected=true OR  device_screen_timeout<514 AND  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND  device_owned_by=>COMPANY OR NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|OR NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|" "fold6"
"8" 7 0 901185 "17531.00000000" "4786.00000000" ".00000000" "21036.18750000" "4489.46875000" ".00000000" 5 "4.53125000" 13 "14.81250000" 2 "3.65625000" "OR  device_screen_timeout<514 AND  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND NOT wifiConnected=true OR  device_screen_timeout<514 AND  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND  device_owned_by=>COMPANY OR NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|OR NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|" "fold6"
"9" 8 0 983872 "17531.00000000" "4786.00000000" ".00000000" "20678.87500000" "4516.43750000" ".00000000" 5 "4.56250000" 13 "14.75000000" 3 "4.03125000" "OR  device_screen_timeout<514 AND  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND NOT wifiConnected=true OR  device_screen_timeout<514 AND  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND  device_owned_by=>COMPANY OR NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|OR NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|" "fold6"
"10" 9 0 1071517 "17531.00000000" "4786.00000000" ".00000000" "20386.06250000" "4534.12500000" ".00000000" 5 "4.62500000" 13 "14.68750000" 4 "4.28125000" "OR  device_screen_timeout<514 AND  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND NOT wifiConnected=true OR  device_screen_timeout<514 AND  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND  device_owned_by=>COMPANY OR NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|OR NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|" "fold6"
"11" 10 0 1152021 "17531.00000000" "4786.00000000" ".00000000" "19751.40625000" "4553.09375000" ".00000000" 5 "4.46875000" 13 "14.18750000" 5 "4.71875000" "OR  device_screen_timeout<514 AND  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND NOT wifiConnected=true OR  device_screen_timeout<514 AND  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND  device_has_password=true AND NOT password_length<6 THEN=GRANTED|AND  device_owned_by=>COMPANY OR NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|OR NOT device_is_rooted=true AND NOT password_length<6 THEN=GRANTED|" "fold6"
